DATE,PRODUCT_ID,PRODUCT_BRAND,PACK_SIZE,UNIT_PRICE,SALES_QTY,SALES_VALUE,Year,Month,Day,Dayofweek,Weekofyear,Dayofyear,Is_weekend,lag_qty_1,lag_qty_2,lag_qty_3,lag_qty_7,lag_qty_14,lag_qty_30,lag_qty_60,lag_value_1,lag_value_2,lag_value_3,lag_value_7,lag_value_14,lag_value_30,lag_value_60,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,Product_Sale_Count,Days_Since_Last_Sale,Avg_Days_Between_Sales,Month_sin,Month_cos,Dayofweek_sin,Dayofweek_cos,Next_Purchase_Volume,Predicted_Next_Purchase_Volume,Model_RMSE
2024-11-09,PEPSI_150 ML,PEPSI,150 ML,1.5,16,24,2024,11,9,5,45,314,True,4.0,20.0,16.0,1.0,8.0,12.0,2.0,6.0,30.0,24.0,2.0,12.0,18.0,3.0,13.333333333333334,8.326663997868494,7.714285714285714,7.499206307211105,7.142857142857143,5.404515816312681,107,1.0,2.4,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,16.0,12.219162,3.7808380126953125
2024-08-01,MOUNTAIN DEW_750 ML,MOUNTAIN DEW,750 ML,3.5,31,121,2024,8,1,3,31,214,False,19.0,42.0,2.0,24.0,4.0,14.0,10.0,77.0,159.0,8.0,96.0,16.0,56.0,39.0,21.0,20.07485989988637,19.0,13.203534880226236,17.214285714285715,11.109099329471853,197,1.0,1.0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,21.0,24.748182,3.7481822967529297
2024-11-11,SPRITE_500 ML,SPRITE,500 ML,2.8,2,7,2024,11,11,0,46,316,False,34.0,48.0,37.0,5.0,20.0,4.0,17.0,96.0,139.0,107.0,13.0,57.0,14.0,59.0,39.666666666666664,7.3711147958370615,33.42857142857143,19.982134878078753,26.357142857142858,16.717596178219168,106,1.0,1.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,6.0,31.539898,25.539897918701172
2024-07-07,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,12,66,2024,7,7,6,27,189,True,48.0,60.0,5.0,33.0,30.0,31.0,10.0,284.0,354.0,29.0,193.0,176.0,187.0,60.0,37.666666666666664,28.91942830232659,36.714285714285715,21.258051695881658,35.357142857142854,16.653053048139903,176,1.0,1.0,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,37.0,28.170444,8.82955551147461
2024-06-01,KELLOGS CORN FLAKES_500 G,KELLOGS CORN FLAKES,500 G,5.5,18,111,2024,6,1,5,22,153,True,30.0,54.0,67.0,11.0,14.0,7.0,88.0,176.0,328.0,396.0,72.0,80.0,42.0,481.0,50.333333333333336,18.77054430040337,43.142857142857146,28.864214126542066,29.214285714285715,26.274230052185196,141,1.0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,27.0,30.270386,3.2703857421875
2024-12-01,FANTA_250 ML,FANTA,250 ML,2.0,2,5,2024,12,1,6,48,336,True,2.0,4.0,18.0,46.0,1.0,2.0,4.0,5.0,8.0,38.0,93.0,2.0,5.0,10.0,8.0,8.71779788708455,19.571428571428573,14.965038621814978,12.857142857142858,12.50142848980456,204,1.0,4.6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,2.0,10.500509,8.500509262084961
2024-07-11,MOUNTAIN DEW_200 ML,MOUNTAIN DEW,200 ML,1.7,19,36,2024,7,11,3,28,193,False,8.0,16.0,6.0,8.0,6.0,19.0,2.0,16.0,32.0,12.0,16.0,12.0,38.0,4.0,10.0,5.291502622135639,11.428571428571429,5.740416444161577,10.285714285714286,4.631473788172697,142,1.0,1.0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,16.0,13.675516,2.324483871459961
2024-03-27,DOVE BODY WASH_500 ML,DOVE BODY WASH,500 ML,8.0,42,335,2024,3,27,2,13,87,False,54.0,54.0,27.0,15.0,56.0,13.0,8.0,432.0,432.0,216.0,115.0,443.0,98.0,67.0,45.0,15.588457268121392,31.285714285714285,16.4186305327652,25.5,16.82374695299594,83,1.0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,25.0,36.33755,11.33755111694336
2024-11-30,MOUNTAIN DEW_750 ML,MOUNTAIN DEW,750 ML,3.5,2,8,2024,11,30,5,48,335,True,5.0,20.0,10.0,25.0,31.0,28.0,4.0,20.0,80.0,40.0,97.0,121.0,100.0,16.0,11.666666666666666,7.637626158264111,14.857142857142858,9.063269671750682,19.428571428571427,11.174932701323309,313,1.0,1.2,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,12.0,11.625531,0.3744688034057617
2024-07-21,ANCHOR BLUE MILK_1000 ML,ANCHOR BLUE MILK,1000 ML,3.0,10,28,2024,7,21,6,29,203,True,11.0,8.0,8.0,2.0,4.0,8.0,3.0,32.0,23.0,23.0,5.0,10.0,20.0,9.0,9.0,1.7320508075689691,6.142857142857143,3.287784027201861,5.071428571428571,2.4950500446433734,110,1.0,1.2,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,2.0,12.810821,10.810820579528809
